V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,Outcome
500,0,0,200,40000,170,0,1125,613,3,GA,26.06
500,0,0,200,40000,109,0,1125,613,7,GA,33.21
500,0,0,200,40000,88,0,1125,613,14,GLM,36.94
500,0,0,200,40000,99,0,1125,613,28,GA,44.09
540,0,0,173,29929,45,0,1125,613,7,GLM,52.61
540,0,0,173,29929,110,0,1125,613,14,GA,59.76
540,0,0,173,29929,168,0,1125,613,28,GLM,67.31
540,0,0,173,29929,132,0,1125,613,90,GA,69.66
540,0,0,173,29929,49,0,1125,613,180,GLM,71.62
540,0,0,173,29929,261,0,1125,613,270,GLM,74.17
350,0,0,203,41209,123,0,974,775,7,GLM,18.13
350,0,0,203,41209,50,0,974,775,14,GLM,22.53
350,0,0,203,41209,27,0,974,775,28,GA,27.34
350,0,0,203,41209,129,0,974,775,56,GLM,29.98
350,0,0,203,41209,202,0,974,775,90,GA,31.35
350,0,0,203,41209,57,0,974,775,180,GA,32.72
385,0,0,186,34596,79,0,966,763,1,GLM,6.27
385,0,0,186,34596,131,0,966,763,3,GA,14.7
385,0,0,186,34596,197,0,966,763,7,GLM,23.22
385,0,0,186,34596,123,0,966,763,14,GLM,27.92
385,0,0,186,34596,229,0,966,763,28,GLM,31.35
331,0,0,192,36864,285,0,978,825,180,GLM,39
331,0,0,192,36864,313,0,978,825,360,GLM,41.24
349,0,0,192,36864,155,0,1047,806,3,GLM,14.99
331,0,0,192,36864,196,0,978,825,3,GLM,13.52
382,0,0,186,34596,321,0,1047,739,7,GA,24
382,0,0,186,34596,115,0,1047,739,28,GLM,37.42
382,0,0,186,34596,288,0,1111,784,7,GLM,11.47
281,0,0,186,34596,220,0,1104,774,28,GLM,22.44
339,0,0,185,34225,26,0,1069,754,7,GA,21.16
339,0,0,185,34225,91,0,1069,754,28,GLM,31.84
295,0,0,185,34225,105,0,1069,769,7,GA,14.8
295,0,0,185,34225,292,0,1069,769,28,GLM,25.18
238,0,0,185,34225,160,0,1118,789,28,GLM,17.54
296,0,0,192,36864,268,0,1085,765,7,GLM,14.2
296,0,0,192,36864,271,0,1085,765,28,GA,21.65
296,0,0,192,36864,173,0,1085,765,90,GLM,29.39
331,0,0,192,36864,28,0,879,825,3,GA,13.52
331,0,0,192,36864,227,0,978,825,7,GA,16.26
331,0,0,192,36864,276,0,978,825,28,GA,31.45
331,0,0,192,36864,285,0,978,825,90,GLM,37.23
349,0,0,192,36864,175,0,1047,806,7,GLM,18.13
349,0,0,192,36864,218,0,1047,806,28,GLM,32.72
349,0,0,192,36864,87,0,1047,806,90,GLM,39.49
349,0,0,192,36864,236,0,1047,806,180,GA,41.05
349,0,0,192,36864,142,0,1047,806,360,GA,42.13
302,0,0,203,41209,165,0,974,817,14,GLM,18.13
302,0,0,203,41209,141,0,974,817,180,GA,26.74
525,0,0,189,35721,317,0,1125,613,180,GA,61.92
500,0,0,200,40000,325,0,1125,613,90,GLM,47.22
500,0,0,200,40000,189,0,1125,613,180,GLM,51.04
500,0,0,200,40000,242,0,1125,613,270,GA,55.16
